RCLASS|43|166|19|19|14
RCLASS|43|166|21|23|8
RCLASS|43|166|23|21|8
RCLASS|43|166|25|25|10
RCLASS|43|166|27|27|10
RATIONAL|43|167|30
RCLASS|43|167|3|5|0
RCLASS|43|167|5|3|0
RCLASS|43|167|13|13|18
RCLASS|43|167|15|17|6
RCLASS|43|167|17|15|6
RCLASS|43|167|19|19|14
RCLASS|43|167|21|23|8
RCLASS|43|167|23|21|8
RCLASS|43|167|25|25|10
RCLASS|43|167|27|27|10
TABLE|46|2xS3xU4(3).2_2|78382080|204
TABLE|56|3_1.U4(3).(2^2)_{122}|39191040|88
COMPLEX|56|60|30|1
CCLASS|56|60|2|2|0
CCLASS|56|60|5|5|18
CCLASS|56|60|6|6|6
CCLASS|56|60|7|7|14
CCLASS|56|60|8|8|8
CCLASS|56|60|9|9|10
CCLASS|56|60|10|10|10
COMPLEX|56|61|30|1
CCLASS|56|61|2|2|0
CCLASS|56|61|5|5|18
CCLASS|56|61|6|6|6
CCLASS|56|61|7|7|14
CCLASS|56|61|8|8|8
CCLASS|56|61|9|9|10
CCLASS|56|61|10|10|10
RATIONAL|56|60|30
RCLASS|56|60|2|2|0
RCLASS|56|60|5|5|18
RCLASS|56|60|6|6|6
RCLASS|56|60|7|7|14
RCLASS|56|60|8|8|8
RCLASS|56|60|9|9|10
RCLASS|56|60|10|10|10
RATIONAL|56|61|30
RCLASS|56|61|2|2|0
RCLASS|56|61|5|5|18
RCLASS|56|61|6|6|6
RCLASS|56|61|7|7|14
RCLASS|56|61|8|8|8
RCLASS|56|61|9|9|10
RCLASS|56|61|10|10|10
TABLE|57|3_1.U4(3).2_1|19595520|50
COMPLEX|57|35|30|1
CCLASS|57|35|2|2|0
CCLASS|57|35|5|5|18
CCLASS|57|35|6|6|6
CCLASS|57|35|7|7|14
CCLASS|57|35|8|8|8
CCLASS|57|35|9|9|10
CCLASS|57|35|10|10|10
RATIONAL|57|32|30
RCLASS|57|32|2|2|0
RCLASS|57|32|5|5|18
RCLASS|57|32|6|6|6
RCLASS|57|32|7|7|14
RCLASS|57|32|8|8|8
RCLASS|57|32|9|9|10
RCLASS|57|32|10|10|10
TABLE|58|3_1.U4(3).2_2|19595520|92
COMPLEX|58|35|15|0
CCLASS|58|35|2|3|0
CCLASS|58|35|3|2|0
CCLASS|58|35|7|7|9
CCLASS|58|35|8|9|3
CCLASS|58|35|9|8|3
CCLASS|58|35|10|10|7
CCLASS|58|35|11|12|4
CCLASS|58|35|12|11|4
CCLASS|58|35|13|13|5
CCLASS|58|35|14|14|5
COMPLEX|58|36|15|0
CCLASS|58|36|2|3|0
CCLASS|58|36|3|2|0
CCLASS|58|36|7|7|9
CCLASS|58|36|8|9|3
CCLASS|58|36|9|8|3
CCLASS|58|36|10|10|7
CCLASS|58|36|11|12|4
CCLASS|58|36|12|11|4
CCLASS|58|36|13|13|5
CCLASS|58|36|14|14|5
COMPLEX|58|37|15|0
CCLASS|58|37|2|3|0
CCLASS|58|37|3|2|0
CCLASS|58|37|7|7|9
CCLASS|58|37|8|9|3
CCLASS|58|37|9|8|3
CCLASS|58|37|10|10|7
CCLASS|58|37|11|12|4
CCLASS|58|37|12|11|4
CCLASS|58|37|13|13|5
CCLASS|58|37|14|14|5
COMPLEX|58|38|15|0
CCLASS|58|38|2|3|0
CCLASS|58|38|3|2|0
CCLASS|58|38|7|7|9
CCLASS|58|38|8|9|3
CCLASS|58|38|9|8|3
CCLASS|58|38|10|10|7
CCLASS|58|38|11|12|4
CCLASS|58|38|12|11|4
CCLASS|58|38|13|13|5
CCLASS|58|38|14|14|5
RATIONAL|58|32|30
RCLASS|58|32|2|3|0
RCLASS|58|32|3|2|0
RCLASS|58|32|7|7|18
RCLASS|58|32|8|9|6
RCLASS|58|32|9|8|6
RCLASS|58|32|10|10|14
RCLASS|58|32|11|12|8
RCLASS|58|32|12|11|8
RCLASS|58|32|13|13|10
RCLASS|58|32|14|14|10
RATIONAL|58|33|30
RCLASS|58|33|2|3|0
RCLASS|58|33|3|2|0
RCLASS|58|33|7|7|18
RCLASS|58|33|8|9|6
RCLASS|58|33|9|8|6
RCLASS|58|33|10|10|14
RCLASS|58|33|11|12|8
RCLASS|58|33|12|11|8
RCLASS|58|33|13|13|10
RCLASS|58|33|14|14|10
TABLE|59|3_1.U4(3).2_2'|19595520|50
COMPLEX|59|35|30|1
CCLASS|59|35|2|2|0
CCLASS|59|35|5|5|18
CCLASS|59|35|6|6|6
CCLASS|59|35|7|7|14
CCLASS|59|35|8|8|8
CCLASS|59|35|9|9|10
CCLASS|59|35|10|10|10
RATIONAL|59|32|30
RCLASS|59|32|2|2|0
RCLASS|59|32|5|5|18
RCLASS|59|32|6|6|6
RCLASS|59|32|7|7|14
RCLASS|59|32|8|8|8
RCLASS|59|32|9|9|10
RCLASS|59|32|10|10|10
TABLE|61|3_2.U4(3).(2^2)_{133}|39191040|64
TABLE|62|3_2.U4(3).2_1|19595520|47
TABLE|63|3_2.U4(3).2_3|19595520|65
TABLE|64|3_2.U4(3).2_3'|19595520|38
TABLE|65|3x2.U4(3).(2^2)_{122}|78382080|261
TABLE|71|6_1.U4(3)|19595520|101
COMPLEX|71|40|15|0
CCLASS|71|40|3|5|0
CCLASS|71|40|5|3|0
CCLASS|71|40|13|13|9
CCLASS|71|40|15|17|3
CCLASS|71|40|17|15|3
CCLASS|71|40|19|19|7
CCLASS|71|40|21|23|4
CCLASS|71|40|23|21|4
CCLASS|71|40|25|25|5
CCLASS|71|40|27|27|5
COMPLEX|71|41|15|0
CCLASS|71|41|3|5|0
CCLASS|71|41|5|3|0
CCLASS|71|41|13|13|9
CCLASS|71|41|15|17|3
CCLASS|71|41|17|15|3
CCLASS|71|41|19|19|7
CCLASS|71|41|21|23|4
CCLASS|71|41|23|21|4
CCLASS|71|41|25|25|5
CCLASS|71|41|27|27|5
RATIONAL|71|33|30
RCLASS|71|33|3|5|0
RCLASS|71|33|5|3|0
RCLASS|71|33|13|13|18
RCLASS|71|33|15|17|6
RCLASS|71|33|17|15|6
RCLASS|71|33|19|19|14
RCLASS|71|33|21|23|8
RCLASS|71|33|23|21|8
RCLASS|71|33|25|25|10
RCLASS|71|33|27|27|10
TABLE|72|6_1.U4(3).2_1|39191040|97
COMPLEX|72|67|30|1
CCLASS|72|67|3|3|0
CCLASS|72|67|9|9|18
CCLASS|72|67|11|11|6
CCLASS|72|67|13|13|14
CCLASS|72|67|15|15|8
